,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
115,115,SN2008af,0.033507,1.33,0.08,Ia-norm,0.0291,0.08,0.0,,,,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0337034352123737,,0.0
116,116,SN2005bc,0.012272,1.32,0.05,Ia-norm,0.0089,0.0,0.0089,1.1,1.1,0.4880902240073475,0.43,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.0104555245488882,0.3502468260038007,0.43
117,117,SN2007ai,0.031662,0.852109517,0.07,Ia-91T,0.286,0.0,0.286,,,,0.339,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.16,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.3313237726688385,,0.339
118,118,SN2001az,0.040695,1.09,0.06,Ia-norm,0.0424,0.14,0.0,1.4,0.7,0.0822888417294414,,,,,,,0.0506778471171855,-0.0286550077948604,0.0822888417294414
119,119,SN2000cu,0.020324,1.48,0.04,Ia-norm,0.0763,0.0,0.0763,1.2,1.1,0.1262638796284214,,,,,,,0.0883685275912284,0.0927559244970339,0.1262638796284214
120,120,SN2006cm,0.016341,1.04,0.07,Ia-norm,0.0414,0.0,0.0414,0.5,1.6,1.2610574820620122,1.1,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.0479177720844745,1.148305683079684,1.1
121,121,SN2001gc,0.01929,1.067913277,0.074,Ia-norm,0.1801,0.0,0.1801,,,,,,,,,,0.2101816236972808,,0.0
122,122,SN2013aa,0.003999,0.8,0.0,Ia-norm,0.1458,0.0,0.1458,,,,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/aab716/pdf,,,,,0.1698252260684967,,0.0
123,123,SN2002dl,0.0162509999999999,1.76,0.05,Ia-norm,0.0668,0.0,0.0668,,,,,,,,,,0.0775874182581901,,0.0
124,124,SN2004eo,0.015701,1.48242509,0.074,Ia-norm,0.093,0.0,0.093,1.1,1.1,0.0506781608080108,0.129,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.077,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.128,https://academic.oup.com/mnras/article/480/2/1445/5056728,0.108019582927227,0.0373300362600623,0.077
125,125,SN1999gh,0.007679,1.69,0.05,Ia-norm,0.0502,0.069,0.0,1.3,1.6,0.1104021646592248,,,,,,,0.0575263686478138,0.1020948432620656,0.1104021646592248
